Tweet URL,Created At,Text,Tweet ID,Likes,Retweets,Replies,Hashtags,Mentions,URLs,tag,sentiment
https://x.com/cityandguilds/status/1635316975995080709,2023-03-13T16:28:44.000Z,"Our recent#LevyingUpreport found that the current apprenticeship system is not working for all businesses. 

Ahead of the#Budget, we're calling on the Chancellor to listen to employers and reform the levy so that it's fit for the future.",Unknown,Unknown,Unknown,Unknown,"#LevyingUp, #Budget","@cityandguilds, @cityandguilds",,to_2023,negative
https://x.com/cityandguilds/status/1635315387591196673,2023-03-13T16:22:25.000Z,"Five years ago,#FlexforSuccessrevealed that 92% of employers wanted more flexibility in their levy spending. Our recent#LevyingUpreport identified a similar call, yet no change has been made.

Here are the#FlexForSuccessrecommendations we still want to see become a reality.",Unknown,Unknown,Unknown,Unknown,"#FlexforSuccess, #LevyingUp, #FlexForSuccess","@cityandguilds, @cityandguilds",,to_2023,neutral
https://x.com/cityandguilds/status/1654094460551155721,2023-05-04T12:03:45.000Z,"At City & Guilds, we believe that the race to#netzerowill only be won when people have the right training and skills. 

We're committed to equip the workforce to transition to the low carbon economy.Learn more:https://cityandguilds.com/what-we-offer/green-skills-and-sustainability…(2/2)",Unknown,Unknown,Unknown,Unknown,#netzero,"@cityandguilds, @cityandguilds",https://t.co/RUlkWw4A4h,to_2023,positive
https://x.com/cityandguilds/status/1621124698041114625,2023-02-02T12:33:41.000Z,"Today we launch#LevyingUpwith 1000 HR leaders sharing their views on apprenticeships. 

Despite being a valuable recruitment tool, the current system is just not working. If we are serious about#LevellingUp– levying up is a key way towards that.https://bit.ly/3JRpGg3",Unknown,Unknown,Unknown,Unknown,"#LevyingUp, #LevellingUp","@cityandguilds, @cityandguilds",https://t.co/1fCayJLecI,to_2023,neutral
https://x.com/cityandguilds/status/1621096822344192000,2023-02-02T10:42:55.000Z,"Our#LevyingUpreport revealed that 96% of UK businesses want to see change to the apprenticeship levy. 

Find out what business leaders think needs to happen to make the levy work more effectively. >https://bit.ly/3JRpGg3",Unknown,Unknown,Unknown,Unknown,#LevyingUp,"@cityandguilds, @cityandguilds",https://t.co/1fCayJKGna,to_2023,neutral
https://x.com/EALAwards/status/1649385288131543040,2023-04-21T12:11:11.000Z,"@cityandguildscurrently have some excellent opportunities to join them as a moderator!

For more information visit:https://careers.cityandguilds.com/associate-vacancies/t-level-roles/…#Hiring#TLevels#Vacancy",Unknown,Unknown,Unknown,Unknown,"#Hiring, #TLevels, #Vacancy","@EALAwards, @cityandguilds",https://t.co/lrbMJATVHl,to_2023,positive
https://x.com/McCraeTraining/status/1729832596329091375,2023-11-29T12:00:04.000Z,"@cityandguildshas identified training as the top driver for business growth. They also reveal that the majority of organisations will be investing more in training in the next 12 months.

Thanks to City & Guilds for these insights that help us shape our training landscape.",Unknown,Unknown,Unknown,Unknown,,"@McCraeTraining, @cityandguilds",,to_2023,positive
https://x.com/cityandguilds/status/1659523271883096066,2023-05-19T11:35:55.000Z,"During an event with our President, HRH The Princess Royal, we showcased some of the innovative skills development our funding has enabled in prisons from:@the_bounce_back@HmpHull &@HMP_Humber@groundworkuk@HMPHighPoint&@IntertrainUK",Unknown,Unknown,Unknown,Unknown,,"@cityandguilds, @cityandguilds, @the_bounce_back, @HMP_Humber, @groundworkuk, @HMPHighPoint, @IntertrainUK",,to_2023,positive
https://x.com/EALAwards/status/1669314392964452352,2023-06-15T12:02:20.000Z,@cityandguildshave developed qualifications that build brighter futures for#SkillsForWalesWatch the full case study video here:https://ow.ly/ptqv50OJ60q,Unknown,Unknown,Unknown,Unknown,#SkillsForWales,"@EALAwards, @cityandguilds",https://t.co/6sRmHVncs6,to_2023,positive
https://x.com/EALAwards/status/1651923311981473795,2023-04-28T12:16:23.000Z,"@cityandguildscurrently have some excellent opportunities to join them as a moderator!

They are looking for T Levels Moderators to join for the next academic year. 

For more information visit:https://lnkd.in/e3PhGrNH#Hiring#TLevels#Vacancy",Unknown,Unknown,Unknown,Unknown,"#Hiring, #TLevels, #Vacancy","@EALAwards, @cityandguilds",https://t.co/nybnM4pK3x,to_2023,positive
