Tweet URL,Created At,Text,Tweet ID,Likes,Retweets,Replies,Hashtags,Mentions,URLs,tag,sentiment
https://x.com/ilovelimerick/status/1151440487414468609,2019-07-17T10:36:19.000Z,"Erika Salmon, Trainer at@bellissimolimkAcademy spoke about what the course entails. Students will graduate with a Diploma in Hairdressing fromCity and Guilds.#ilovelimerick#lovelimerick#lovinlimerick",Unknown,Unknown,Unknown,Unknown,"#LimerickandProud, #ilovelimerick, #lovelimerick, #lovinlimerick","@ilovelimerick, @bellissimolimk",,phrase_2019,neutral
https://x.com/SLCek/status/1134085827737374720,2019-05-30T13:15:06.000Z,OurCity and Guildsstudents continued their hard work at the Blantyre Soccer Academy last week. This time the joiners were working on the renovations. Good work team!#southlanarkshirecollege#beslcek#SLCgivesback#construction#joinery#renovations,Unknown,Unknown,Unknown,Unknown,"#southlanarkshirecollege, #beslcek, #SLCgivesback, #construction, #joinery, #renovations",@SLCek,,phrase_2019,positive
https://x.com/blulotusinspire/status/1177692645889585153,2019-09-27T21:13:01.000Z,Graduation day! Professional Chef Diploma andCity and GuildsLevel 3. Amazing journey of both professional and personal development. Grateful to have met incredible mentors and very talented friends.@women_food_wifi@Westking@PlanetARON@Craft_Guild@CanteenTweets@chefmagazine,Unknown,Unknown,Unknown,Unknown,,"@blulotusinspire, @women_food_wifi, @Westking, @PlanetARON, @Craft_Guild, @CanteenTweets, @chefmagazine",,phrase_2019,positive
https://x.com/arena_training/status/1184045706832683010,2019-10-15T09:57:49.000Z,"Arena now has approval to deliverCity and Guilds2919-01 Level 3 Award in Domestic, Commercial & Industrial Electric Vehicle Charging Equipment Installation. Watch this space for course dates.",Unknown,Unknown,Unknown,Unknown,,@arena_training,,phrase_2019,neutral
https://x.com/WirralE/status/1189829361710403584,2019-10-31T09:00:00.000Z,Congratulations to Dan & Rob who attend Royden Park have received theirCity and GuildsNPTC NVQ Level 2 award in the safe use of a petrol trimmer. Big thanks to Duncan from the Royden Park Project Team who had spent months coaching & supporting them before their assessment,Unknown,Unknown,Unknown,Unknown,,@WirralE,,phrase_2019,positive
https://x.com/TataSteelUK/status/1192132221542555648,2019-11-06T17:30:45.000Z,"We are the proud recipient of 'the Princess Royal Training Award' presented by Princess Anne and delivered by theCity and GuildsGroup, the awards celebrate exceptional training and development,  awarded to organisations who meet the royal quality hallmarks#SteelHeroes",Unknown,Unknown,Unknown,Unknown,#SteelHeroes,@TataSteelUK,,phrase_2019,positive
https://x.com/MHatWORK/status/1194860696628056064,2019-11-14T06:12:44.000Z,So good when you have an enthusiastic group of caring proffesional #11@Weightmans@ncsptuk_org#Suicidefirst aidCity and Guildsintervention skills#workplace@JanMcandCo@EHUPressOffice@PSSpeople,Unknown,Unknown,Unknown,Unknown,"#Suicide, #workplace","@MHatWORK, @Weightmans, @JanMcandCo, @PSSpeople",,phrase_2019,positive
https://x.com/BusnesCymruDe/status/1178940573190967296,2019-10-01T07:51:50.000Z,Mae Angharad Lloyd Bevan o@cityandguildsbellach yn cyflwyno'r Cymwysterau Gofal Plant newydd yng Nghymru󠁧󠁢󠁷󠁬󠁳󠁿ganCity and Guildsa@wjec_cbac,Unknown,Unknown,Unknown,Unknown,,"@BusnesCymruDe, @cityandguilds, @wjec_cbac",,phrase_2019,neutral
https://x.com/NorthamptonColl/status/1197898623780036609,2019-11-22T15:24:22.000Z,"Congratulations to Gracie Wilkins, Domini Snow and Amy O’Sullivan who have all passed theirCity and GuildsHealth and Safety Exam!",Unknown,Unknown,Unknown,Unknown,,@NorthamptonColl,,phrase_2019,positive
https://x.com/leamanorschool/status/1144196037701242881,2019-06-27T10:49:28.000Z,Our year 10City and Guilds' pupils have completed their planting and watering units.   The plants will be sold and all sales will be donated to@TargetOvarianin remembrance of a dear member of staff Mrs Rebecca Hancox.,Unknown,Unknown,Unknown,Unknown,,"@leamanorschool, @TargetOvarian",,phrase_2019,positive
